id,title,description,price,url,avg_review,image,company,tags,category,g_link,thirdparty,pwa_ready
5,n98-magerun2,"The swiss army knife for Magento developers, sysadmins and devops. The tool provides a huge set of well tested command line commands which save hours of work time. All commands are extendable by a module API.",0,https://github.com/netz98/n98-magerun2,,https://repository-images.githubusercontent.com/25814103/83fdd05b-9b0b-4199-9752-13b95d7b6e88,netz98,"php,magento2,cli-app",,https://github.com/netz98/n98-magerun2,0,0
9,mageres,"A list of useful Magento technical resources",0,https://github.com/aleron75/mageres,,https://repository-images.githubusercontent.com/29300306/a8747700-e80b-11e9-8939-a62f69382c05,aleron75,Resource,,https://github.com/aleron75/mageres,0,0
11,awesome-magento2,"Curated list of awesome Magento 2 Extensions, Resources and other Highlights",0,https://github.com/run-as-root/awesome-magento2,,https://opengraph.githubassets.com/9fc7c51e2dfc8ba3532fb0cecb5def4a0e3486f720a0de3c34343cd0c299033e/run-as-root/awesome-magento2,run-as-root,Resource,,https://github.com/run-as-root/awesome-magento2,0,0
16,module-magento2-reset_database,"A Magento 2 module that allows you to reset a Magento database to its initial state.",0,https://github.com/cmdepi/module-magento2-reset_database,,https://opengraph.githubassets.com/013ea7fe505c977ea9d949d7934178955b1b211b4f07dd1a4d9222a999a7615c/cmdepi/module-magento2-reset_database,cmdepi,"php,ecommerce,magento,magento-2,magento2,magento2-extension,magento2-module,magento2-extension-free",,https://github.com/cmdepi/module-magento2-reset_database,0,0
23,magento2-module-buyxgety,"A BUY X GET Y module for MAGENTO 2",0,https://github.com/gaiterjones/magento2-module-buyxgety,,https://opengraph.githubassets.com/14e3d762884c0c313f10e83c8c0470a46f2e245ced8cbfc5a4719c68741c9d26/gaiterjones/magento2-module-buyxgety,gaiterjones,"magento2,magento2-module,buyxgety",,https://github.com/gaiterjones/magento2-module-buyxgety,0,0
56,admin-manually-reindex,"Manually Reindex on the Admin panel",0,https://github.com/themagelover/admin-manually-reindex,,https://opengraph.githubassets.com/5d368ea22722315e49437c441c1de5aec90754def1ebe8f44ce222f75da926ae/themagelover/admin-manually-reindex,themagelover,"magento,magento2,magento2-extension,magento2-extension-free,reindex-admin",,https://github.com/themagelover/admin-manually-reindex,0,0
57,magento-scaffolder,"A Magento 2 scaffolder to generate base custom modules and themes and start developing faster",0,https://github.com/codeversrl/magento-scaffolder,,https://opengraph.githubassets.com/1fffcc773b92cc6e42c0f36b40bd24952cb010fc9d953a5d999b2b4386eb86a0/codeversrl/magento-scaffolder,codeversrl,"Developer Tools",admintools,https://github.com/codeversrl/magento-scaffolder,0,0
64,guia-otimizacoes-magento2,"Nginx PHP-FPM MySQL Redis Elasticsearch optimization configuration files for Magento 2",0,https://github.com/alejunio/guia-otimizacoes-magento2,,https://opengraph.githubassets.com/8d3b68f320d6f2f2031018e094f04914a343f4d762ad2d489e8f24ae8a882567/alejunio/guia-otimizacoes-magento2,alejunio,"nginx,magento,php-fpm,magento2,hospedagem,otimizacao",,https://github.com/alejunio/guia-otimizacoes-magento2,0,0
76,magento2-indexer-fix,"Fixes a common concurrency issue with scheduled indexing in Magento 2",0,https://github.com/aligent/magento2-indexer-fix,,https://opengraph.githubassets.com/f702b31046d425248d1b0d4a4a98813b51354564e7ee2c615a1b8cebea9ecb1f/aligent/magento2-indexer-fix,aligent,magento2,,https://github.com/aligent/magento2-indexer-fix,0,0
78,magento2-sass-theme-boilerplate,"A Magento 2, SASS based boilerplate theme with focus on ease-of-use and quick results. The boilerplate variables cover a great range of elements, so that any design is quickly implemented with the proper classes inherits and re-use of the standard Magento Blank theme objects. A Demo is available on https://m2boilerplate.epartment.nl/",0,https://github.com/epartment/magento2-sass-theme-boilerplate,,https://opengraph.githubassets.com/a80af3ae90cbb316589ae5d0971e4a216db4d77495171e66a3669f6a6a76310c/epartment/magento2-sass-theme-boilerplate,epartment,"nodejs,gulp,sass,npm,boilerplate,yarn,magento2,blank-theme,magento-theme",,https://github.com/epartment/magento2-sass-theme-boilerplate,0,0
108,magento2-customer-provider-component,"Create an abstract component with a customer data to not duplicate the code to each component and send many requests to BE",0,https://github.com/serhii-chernenko/magento2-customer-provider-component,,https://opengraph.githubassets.com/a93ead9c1497fc5e0db626c9a7ad84903082793cf26e3db1a2c48d3aff63d31a/serhii-chernenko/magento2-customer-provider-component,serhii-chernenko,"magento2,ui-components,customer-data",,https://github.com/serhii-chernenko/magento2-customer-provider-component,0,0
119,m2-cloud,"This extension connects your Magento 2 store with X-Payments Cloud - a PSD2/SCA ready PCI Level 1 certified credit card processing app which allows you to store customers’ credit card information and still be compliant with PCI security mandates.",0,https://github.com/xpayments/m2-cloud,,https://opengraph.githubassets.com/554cc8f0f554103304b74037ce0b8b95c5bad3df896b92b0772ac33159896267/xpayments/m2-cloud,xpayments,"Payment Integration",payment,https://github.com/xpayments/m2-cloud,0,0
127,magento2-Sizechart,"Magento 2 Sizechart module",0,https://github.com/rahulbarot/magento2-Sizechart,,https://opengraph.githubassets.com/aa0799406196028fc7b4d680e995e66a21c78750e7b367a7d3d8754a645eba4c/rahulbarot/magento2-Sizechart,rahulbarot,"magento,magento2,magento2-extension,magento2-module,magento2-extension-free,magento2-plugin,magento2-free-extension,magento2-module-free,attribute-set,size-chart,magento-sizechart,magento2-sizechart,magento2-size-chart,devawesome,sizechart",,https://github.com/rahulbarot/magento2-Sizechart,0,0
128,telegram_magento,"Connection Magento2 to Telegram using API",0,https://github.com/anatoliidolia/telegram_magento,,https://opengraph.githubassets.com/074caca4b2267df30d1caf1a3d83b16f71499f30e66c3f5023fc6955163c74f1/anatoliidolia/telegram_magento,anatoliidolia,"telegram,integration,magento2,magento2-extension,telegram-bot-api,magento2-module",,https://github.com/anatoliidolia/telegram_magento,0,0
154,ipay88,"iPay88 integration with Magento 2",0,https://github.com/mage2pro/ipay88,,https://opengraph.githubassets.com/bff242ae5ff3c0e9a8faa4df0c5542d2a88b526245aa72032adbaf8e40faea03/mage2pro/ipay88,mage2pro,"magento-2,magento2,magento2-extension,payment-gateway,payment-integration,payment-processing,malaysia,payment-service,magento2-module,payment-module,ipay88,mage2pro",payment,https://github.com/mage2pro/ipay88,0,0
156,oro,"Oro Platform integration with Magento 2",0,https://github.com/mage2pro/oro,,https://opengraph.githubassets.com/b8bfcc70f5e209442adf16264d067fe2616d7f863ff10e9dec58ee96decd0ee8/mage2pro/oro,mage2pro,"magento2,orocrm,magento2-extension,oroplatform,orocommerce,magento2-module,oro,mage2pro",,https://github.com/mage2pro/oro,0,0
